TransactionID,AccountID,TransactionAmount,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AnomalyScore,PotentialFraud
TX000001,AC00128,-0.9712754695068417,1,36,365,186,14,0,1.4237182648914386,0,-0.5524432626288956,1,-0.000536635052410607,0.07330538171608031,0
TX000002,AC00455,0.2694396064236744,1,15,50,82,51,0,1.3112870641052805,0,0.30531436617680696,1,2.2164715868484435,0.049880534045060876,0
TX000003,AC00019,-0.5868816229808057,1,23,229,343,8,2,-1.443277355155591,3,-0.9098422746312717,1,-1.0235341282270716,0.09594511035049974,0
TX000004,AC00070,-0.38745590278222686,1,33,182,300,1,2,-1.0497681524040379,3,-1.353017049514218,1,0.8857974429054191,0.06908299984928129,0
TX000005,AC00411,-0.9734680903782914,0,1,298,501,90,2,-1.0497681524040379,3,1.1201841135422244,1,0.5935893646592064,0.014577363336954474,0
TX000006,AC00393,-0.7038442425922038,1,28,562,60,53,0,-1.49949295554867,3,0.7484891410597533,1,-1.1108816933044958,0.07457541268667978,0
TX000007,AC00199,-0.9952915199894398,0,39,235,112,18,0,-0.4313965480801688,0,0.2767224452166169,1,2.103091796208713,0.016182621598414992,0
TX000008,AC00069,-0.43226759184248137,0,16,483,571,19,1,1.2550714637122016,2,2.449708438191063,1,-0.5943498275623533,0.013869765294192815,0
TX000009,AC00135,-0.6556065834203091,0,11,670,370,34,1,0.35562185742293734,1,-0.4809634602284204,1,1.0206840106570008,0.06295946759606075,0
TX000010,AC00385,1.7759071839141245,1,26,194,393,6,0,0.5804842589952534,0,0.005099196094811046,1,-1.049294570483005,0.06592800385215514,0
TX000011,AC00150,-0.958633639794889,0,0,200,337,72,2,0.41183745781601633,1,-0.8669543931909865,1,0.6372080213386072,0.06620890596330953,0
TX000012,AC00459,-0.3685445477659726,1,22,572,56,29,2,-1.330846154369433,3,0.7627851015398482,1,-0.9193180502003306,0.08783760270035407,0
TX000013,AC00392,0.674663351228483,0,23,31,332,56,1,-1.162199353190196,3,-0.12356444822604433,1,-0.895931865884976,0.07318502236322677,0
TX000014,AC00264,1.658739006096028,1,22,53,277,24,0,-1.0497681524040379,3,0.04798707753509617,1,-1.2626675419268705,0.07167695239658978,0
TX000015,AC00085,-0.4474446394370476,1,21,299,251,16,2,-1.49949295554867,3,0.20524264281614163,1,-1.2344020780640845,0.10351394614061638,0
TX000016,AC00270,0.575070400083101,1,10,451,361,24,0,-0.4876121484732478,1,0.13376284041566644,1,-0.4227417455289484,0.10402283862996226,0
TX000017,AC00317,0.8846067996697973,0,2,651,464,47,1,-1.443277355155591,3,0.5483456943384226,1,-1.021249610057465,0.02849156766660277,0
TX000018,AC00359,0.669216058750975,1,8,417,49,58,2,-0.31896534729401077,1,1.6348386908256458,1,-0.0011109695866326143,0.07029894411068915,0
TX000019,AC00242,-0.9555502666944129,0,0,513,579,53,1,0.8053466605675694,2,-0.19504425062651956,1,0.7266529330633243,0.04974166326532836,0
TX000020,AC00285,-0.7746590447998077,0,8,38,70,38,2,-1.49949295554867,3,0.7056012596194681,1,0.3728782439432717,0.01278516672715635,0
TX000021,AC00002,-0.8163188413573532,1,20,150,59,39,1,1.4799338652845175,2,-1.1671695632729824,1,0.1632204990176552,0.09647486222123358,0
TX000022,AC00014,-0.7257019319044686,1,19,260,478,64,1,-0.3751809476870898,0,-0.38089173686775507,1,1.0337731972516602,0.11932840367115449,0
TX000023,AC00095,-0.8407117485522317,1,1,140,91,21,2,-0.31896534729401077,1,0.005099196094811046,1,0.9898622453182356,0.08766599676208714,0
TX000024,AC00453,0.16529011502981078,1,13,158,268,82,2,-1.274630553976354,3,0.319610326656902,3,-0.9517038515474685,0.028973981953695493,0
TX000025,AC00241,-0.5209316983317309,1,33,35,63,27,2,-1.330846154369433,3,-0.33800385542746997,1,-0.8162070533532758,0.07445091517501051,0
TX000026,AC00041,-0.9938868722436672,0,15,651,543,42,2,1.1426402629260435,2,2.2352690309896377,1,-0.37937692420172625,0.009555426718395599,0
TX000027,AC00441,-0.1735725887125261,1,24,45,467,28,0,-1.218414953583275,3,0.5483456943384226,5,-1.138657434417119,-0.001734039875857074,1
TX000028,AC00057,-0.8814122734785179,1,25,300,327,7,1,-0.4313965480801688,1,-0.35229981590756504,1,-0.6224819637654089,0.12447655696258825,0
TX000029,AC00390,-0.5829074976513031,1,19,226,151,91,2,-0.03788734532861574,0,1.1058881530621294,1,-0.8569489093746535,0.07028467514983955,0
TX000030,AC00313,-0.82711064720902,1,11,288,397,42,1,-0.9935525520109589,3,2.335340754350303,1,-0.9647315022991751,0.07081067631655019,0
TX000031,AC00367,-0.9225581745193173,0,24,570,404,90,2,0.8053466605675694,0,-1.4244968519146932,1,0.8256487204129397,0.033307125467868515,0
TX000032,AC00291,-0.8170040353796812,1,3,274,248,52,0,-0.8811213512248008,0,1.963645781867832,1,1.2074709339519887,0.05143521937841966,0
TX000033,AC00060,0.33867846237992383,1,27,601,92,6,0,0.2431906566367793,1,0.6913052991393731,3,1.1732441853031925,0.008106217117835768,0
TX000034,AC00359,1.9878034353190734,1,20,109,93,93,2,-1.274630553976354,3,0.4339780104976623,1,-1.2090005948920401,0.03280229541915747,0
TX000035,AC00365,-0.1450342576825629,0,37,345,571,1,1,0.018328255064463266,0,-0.995618037511842,1,2.487475439210654,0.010378401977412133,0
TX000036,AC00267,-0.5921233572516154,1,39,41,479,1,1,0.2431906566367793,1,-1.0670978399123172,1,0.16676650196778517,0.0747557591279675,0
TX000037,AC00404,-0.7518763435574001,1,25,244,397,27,1,-1.0497681524040379,3,0.3624982080971871,1,-1.0803881191281433,0.12267605230081224,0
