TransactionAmount,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AnomalyScore,Actual,Predicted,Probability
-0.5868816229808057,1,23,229,343,8,2,-1.443277355155591,3,-0.9098422746312717,1,-1.0235341282270716,0.09594511035049974,0,0,0.0
-0.9952915199894398,0,39,235,112,18,0,-0.4313965480801688,0,0.2767224452166169,1,2.103091796208713,0.016182621598414992,0,0,0.03
-0.8407117485522317,1,1,140,91,21,2,-0.31896534729401077,1,0.005099196094811046,1,0.9898622453182356,0.08766599676208714,0,0,0.0
-0.5921233572516154,1,39,41,479,1,1,0.2431906566367793,1,-1.0670978399123172,1,0.16676650196778517,0.0747557591279675,0,0,0.0
0.10578101419061983,1,35,540,482,13,0,1.0302090621398854,2,-0.009196764385283997,1,-0.2027203390527713,0.10148354094954576,0,0,0.0
-0.9029958851818515,1,30,607,25,45,2,-0.3751809476870898,0,-1.4387928123947882,1,2.3332794367393115,0.019296378933879366,0,0,0.0
-0.8300227218039142,1,40,192,219,8,0,-1.443277355155591,3,-0.03778868534547408,1,-1.2493091360192947,0.07937875368607511,0,0,0.0
-0.4560095647161482,1,3,101,43,69,1,-1.0497681524040379,3,-0.6382190255094659,1,-0.9243280934140357,0.08782685428614606,0,0,0.0
-0.8121391578211521,0,8,447,0,94,1,0.6929154597814113,2,-0.9670261165516518,1,-0.40495019493534623,0.031988070291855686,0,0,0.01
-0.017245572518381578,0,9,301,293,74,1,1.3112870641052805,2,-0.8383624722307964,1,-0.12202890098802778,0.08207229989782733,0,0,0.0
-0.6355989179683301,1,18,87,290,63,1,-1.218414953583275,3,-0.9813220770317469,1,-1.0727756225562444,0.11237311085934759,0,0,0.0
-0.7059683440614207,1,25,351,582,94,1,-0.03788734532861574,0,-0.7239947883900362,1,2.4516256827039893,0.04213200919928284,0,0,0.03
0.3267218266902993,1,18,139,246,21,2,-1.162199353190196,3,-0.2808200135070898,1,-1.1083253918285165,0.10951236772938738,0,0,0.0
-0.229313122428913,1,15,509,487,48,1,-1.330846154369433,3,0.21953860329623667,1,-1.1528363182307262,0.11625773965085384,0,0,0.0
0.49514251737853404,1,20,625,205,46,2,-1.443277355155591,3,2.006533663308117,1,-0.9585497140759189,0.05547925808105847,0,0,0.0
0.2938667733196694,1,13,310,232,65,1,-0.8249057508317219,1,-1.367313009994313,1,0.9711450930868917,0.1058895293890954,0,0,0.0
-0.5743768320733188,1,19,627,36,44,0,-0.7124745500455638,1,1.649134651305741,1,0.7283323487772326,0.07207557767081929,0,0,0.0
0.10369117242251924,1,14,635,251,50,2,-0.2627497469009318,1,-0.22363617158670962,1,-1.1881912240003156,0.09217918833071514,0,0,0.0
0.00851772272115303,0,2,259,555,39,2,1.3112870641052805,0,-1.038505918952127,1,2.1620739016785535,0.00392230333571042,0,0,0.01
-0.8243356114185914,0,28,250,13,85,0,-0.09410294572169475,1,0.03369111705500113,2,0.1471904119285643,0.013242183334503888,0,0,0.12
-0.8025464415085594,0,11,419,509,27,2,0.07454385545754227,0,0.648417417699088,1,1.553943369708361,0.05135481056895219,0,0,0.0
-0.6323442463622719,0,17,355,396,18,1,1.3675026644983594,2,0.662713378179183,1,0.2470810329944454,0.0767686049178995,0,0,0.0
0.12106084088853528,0,0,531,43,38,1,-0.5438277488663268,1,2.4783003591512536,1,-0.5964112783012575,-0.0001377653690317615,1,1,0.77
0.2695081258259072,1,40,465,548,80,0,-0.4313965480801688,1,1.7920942561066913,1,1.012289496080916,0.050985537958530114,0,0,0.01
-0.7000414157682832,0,27,421,236,91,2,-1.387061754762512,3,-0.681106906949751,1,-1.0158806077598714,0.04436038265427589,0,0,0.0
0.034178238857338526,1,11,75,79,48,1,-0.6562589496524849,0,2.363932675310493,1,0.04959712899957147,0.037618655453837135,0,0,0.03
-0.4124997442983171,1,6,646,87,87,2,1.7610118672499127,2,-1.0956897608725071,1,0.058714689730346825,0.0481653187119786,0,0,0.0
-0.7686635971044372,1,32,58,158,21,1,-1.0497681524040379,3,-1.5102726147952634,1,-1.1093279132699487,0.08265401982218595,0,0,0.0
-0.328563476563131,1,19,606,272,18,0,0.8053466605675694,0,2.564076122031824,1,0.567723798671563,0.045177082425741255,0,0,0.03
1.1400471311936944,1,23,89,303,83,0,0.9739934617468065,2,-0.9670261165516518,1,-0.9616649661253823,0.08565660585401069,0,0,0.0
0.6541760499608744,1,17,451,291,35,1,0.41183745781601633,1,0.17665072185595154,1,0.608263099209889,0.12791299867021394,0,0,0.0
0.03363008363947619,1,20,13,2,6,0,-1.443277355155591,3,-1.5102726147952634,1,-1.040289825464309,0.03320915438025407,0,0,0.0
0.6438981396259537,1,15,572,112,60,0,0.07454385545754227,1,0.333906287136997,1,0.32234706090555554,0.09486220284937413,0,0,0.0
1.358761063120808,1,25,6,376,34,0,0.9177778613537274,2,-0.681106906949751,1,-0.9550703749556541,0.0815025071788506,0,0,0.0
0.3056521105037119,0,11,242,399,38,2,0.6929154597814113,0,0.41968205001756725,1,0.5284357269399349,0.08503176876003488,0,0,0.0
-0.5688267604924616,1,5,198,377,13,1,-0.03788734532861574,0,-1.1099857213526023,1,0.1946678787597694,0.10188858931638506,0,0,0.0
0.7148157209369068,1,6,304,98,76,0,0.7491310601744904,1,-0.7954745907905113,1,-1.2523090083632225,0.06910348017521489,0,0,0.0
-0.4587846005065768,1,36,425,404,86,1,-0.20653414650785276,0,2.4640043986711584,1,1.2757782836225688,0.04310127068756098,0,0,0.02
